Resident County,Births,Baby_Male,Baby_Female,Mother_White,Mother_Black,Mother_Hispanic,Mother_Other,Mother_Age < 20,Mother_Age 20 - 24,Mother_Age 25 - 29,Mother_Age 30 - 34,Mother_Age 35 - 39,Mother_Age 40 +,Mother_Unmarried,Mother_NotHSGraduate_Age_20+ ,Population,GDP
Adams,768,360,408,698,48,11,11,51,179,252,200,77,9,315,52,65691,3284870
Alexander,51,24,27,33,17,1,0,2,13,18,14,3,1,28,8,6060,180487
Bond,154,84,70,146,3,3,2,10,35,53,39,16,1,59,15,16630,556141
Boone,512,249,263,323,20,163,6,23,104,160,131,74,20,210,51,53577,1706969
Brown,65,38,27,63,0,1,1,3,15,23,20,3,1,15,7,6556,403332
Bureau,312,167,145,255,5,47,5,11,76,104,88,26,7,128,24,32993,1200477
Calhoun,37,19,18,35,2,0,0,1,1,24,8,2,1,7,2,4802,109270
Carroll,127,65,62,118,1,5,3,7,25,44,32,18,1,57,5,14312,463346
Cass,170,74,96,99,16,54,1,16,36,52,42,19,5,85,32,12260,638399
Champaign,2254,1167,1087,1278,556,223,197,107,406,682,690,314,55,938,168,209983,10356705
Christian,360,160,200,348,5,4,3,19,93,130,82,28,8,183,29,32661,1346262
Clark,189,93,96,186,0,3,0,12,48,70,43,10,6,73,8,15596,608104
Clay,157,74,83,153,1,2,1,20,39,55,25,13,5,78,8,13253,588562
Clinton,401,208,193,369,8,18,6,14,66,144,132,41,4,134,24,37639,1210870
Coles,485,255,230,421,35,22,7,30,135,159,109,39,13,228,38,50885,2305836
Cook,61787,31632,30155,23286,15423,17415,5663,2588,9596,14999,19761,12028,2814,25252,5422,5180493,362063569
Crawford,204,98,106,195,3,5,1,16,54,85,34,14,1,66,25,19605,1154494
Cumberland,113,52,61,112,1,0,0,6,29,43,24,9,2,46,5,10808,343839
DeKalb,1092,547,545,719,186,163,24,38,203,370,310,152,19,436,63,104143,3614570
DeWitt,171,100,71,158,4,8,1,9,51,59,38,13,1,84,8,15769,1129745
Douglas,236,129,107,217,0,17,2,10,50,71,66,30,9,57,82,19479,1002215
DuPage,10299,5347,4952,6177,612,1883,1627,207,851,2470,4073,2257,440,2085,477,928589,62596221
Edgar,171,82,89,169,0,1,1,10,48,57,42,12,2,79,20,17360,756615
Edwards,92,40,52,89,1,0,2,2,25,30,22,11,2,27,6,6392,279804
Effingham,453,213,240,430,5,9,9,24,87,171,135,31,5,142,19,34208,2041960
Fayette,225,114,111,218,2,4,1,13,76,82,38,15,1,91,29,21416,599015
Ford,150,79,71,137,2,10,1,13,38,53,28,15,3,68,13,13264,788611
Franklin,477,241,236,468,2,6,1,33,144,165,103,29,3,187,52,38701,1247960
Fulton,321,170,151,309,7,3,2,30,83,122,61,20,5,169,22,34844,917536
Gallatin,38,19,19,36,2,0,0,4,9,15,7,3,0,16,4,5058,276703
Greene,139,72,67,137,0,1,1,6,37,55,31,10,0,52,17,13044,377090
Grundy,571,270,301,490,8,65,8,25,87,214,164,69,12,215,19,50972,3145931
Hamilton,82,41,41,80,0,1,1,2,21,32,24,3,0,19,6,8163,460533
Hancock,189,100,89,181,3,3,2,12,45,72,38,21,1,67,4,17844,683222
Hardin,33,13,20,32,1,0,0,3,15,8,6,1,0,16,4,3910,105717
Henderson,61,29,32,59,0,2,0,1,16,19,19,6,0,24,4,6709,201065
Henry,491,244,247,425,26,37,3,27,108,165,137,51,3,196,30,49090,1436917
Iroquois,307,164,143,263,6,36,2,19,84,97,70,33,4,152,29,27604,1056396
Jackson,628,290,338,412,183,25,8,42,158,207,143,64,14,317,66,57419,2805921
Jasper,120,61,59,120,0,0,0,4,20,52,31,11,2,26,4,9611,568282
Jefferson,441,225,216,353,65,18,5,25,114,155,95,43,9,211,38,37820,1695482
Jersey,213,119,94,209,1,2,1,6,49,69,68,17,4,80,16,21847,502115
Jo Daviess,161,81,80,152,2,7,0,4,23,59,46,25,4,58,9,21366,819232
Johnson,107,55,52,105,1,1,0,7,28,45,18,7,2,44,12,12456,826975
Kane,6339,3313,3026,2887,465,2700,287,294,996,1682,2051,1082,232,2288,775,534216,21846847
Kankakee,1237,616,621,797,254,171,15,62,274,450,291,137,23,619,94,110024,4370611
Kendall,1515,740,775,1020,102,335,58,34,152,372,616,288,53,389,59,127915,2910561
Knox,547,302,245,420,80,40,7,36,143,162,131,60,15,296,41,50112,1750985
Lake,7094,3656,3438,3535,671,2247,641,261,1016,1739,2397,1390,291,2316,616,700832,50106642
LaSalle,1093,570,523,881,34,157,21,62,213,362,304,138,14,499,94,109430,5398514
Lawrence,150,81,69,141,2,5,2,10,44,48,35,9,4,64,23,15765,510953
Lee,334,178,156,290,12,25,7,9,90,112,87,28,8,158,22,34223,1508358
Livingston,435,240,195,388,13,31,3,23,94,169,109,35,5,199,53,35761,1753899
Logan,300,158,142,286,6,7,1,26,71,90,79,29,5,127,31,28925,1110851
Macon,1268,681,587,823,380,40,25,91,338,428,297,95,19,750,123,104712,3050422
Macoupin,470,244,226,457,8,3,2,26,97,171,113,52,11,205,31,45313,3241435
Madison,2863,1467,1396,2275,423,131,34,139,570,930,850,320,54,1238,185,264461,11802499
Marion,476,254,222,436,31,7,2,50,135,163,82,37,9,269,54,37620,1523486
Marshall,124,72,52,118,1,5,0,5,25,40,36,17,1,53,5,11534,863098
Mason,127,64,63,124,1,0,2,12,33,46,26,9,1,67,9,13565,903639
Massac,144,73,71,120,12,11,1,9,44,50,29,12,0,69,15,14080,1022400
McDonough,263,144,119,224,29,7,3,16,54,96,60,26,11,96,25,29955,803674
McHenry,2988,1517,1471,2278,55,559,96,74,337,852,1104,493,128,828,156,308570,27277815
McLean,1820,940,880,1299,249,120,152,68,293,605,562,253,39,582,93,172828,6690326
Menard,114,72,42,113,1,0,0,2,20,47,29,14,2,36,10,12288,289134
